metodo;n;m;t_carga;t_ordenacao;t_verificacao;t_gravacao;comp_ordenacao;comp_ordenacao_destino;comp_busca;prof_ordenacao;prof_busca;t_busca
bin-rec-rec;50000;5;0.149144273;0.012559937;0.012565776;1.27e-07;724831.0;724824.0;80.0;17.0;17.0;6.143000000000121e-06
bin-rec-rec;50000;10;0.150257919;0.012378436;0.012387724;1.6e-07;724847.0;724824.0;163.0;17.0;17.0;9.195000000000036e-06
bin-rec-rec;50000;20;0.152549722;0.01293819;0.012955795;2.21e-07;724889.0;724824.0;323.0;17.0;17.0;1.7618000000000494e-05
bin-rec-rec;50000;50;0.148826467;0.012583279;0.0126156;3.84e-07;725047.0;724824.0;811.0;17.0;17.0;3.2321000000000086e-05
bin-rec-rec;50000;100;0.152035703;0.01284488;0.012903675;6.64e-07;725362.0;724824.0;1626.0;17.0;17.0;5.8891999999999625e-05
bin-rec-rec;50000;200;0.152718547;0.012969315;0.013077054;1.101e-06;726099.0;724824.0;3243.0;17.0;17.0;0.00010884100000000015
bin-rec-rec;50000;500;0.15382102;0.013049783;0.013316707;2.406e-06;728685.0;724824.0;8097.0;17.0;17.0;0.00025630399999999887
bin-rec-rec;50000;1000;0.155592184;0.012945131;0.01346025;4.7e-06;733546.0;724824.0;16166.0;17.0;17.0;0.0005068109999999994
bin-rec-rec;50000;2000;0.15702235;0.013126733;0.014112833;9.721e-06;744289.0;724824.0;32340.0;17.0;17.0;0.0009861000000000002
bin-rec-rec;50000;5000;0.166892283;0.013540203;0.016019542;2.4313e-05;780262.0;724824.0;80929.0;17.0;17.0;0.0024555379999999984
seq-iter;50000;1;0.150868073;0.0;0.000919702;1.35e-07;0.0;0.0;50000.0;0.0;0.0;0.000919702
seq-iter;50000;2;0.14989395;0.0;0.001563695;1.69e-07;0.0;0.0;100001.0;0.0;0.0;0.001563695
seq-iter;50000;5;0.15090236;0.0;0.002057028;1.61e-07;0.0;0.0;180984.0;0.0;0.0;0.002057028
seq-iter;50000;10;0.149328301;0.0;0.003089582;2.05e-07;0.0;0.0;376033.0;0.0;0.0;0.003089582
seq-iter;50000;20;0.1505739;0.0;0.005426012;2.39e-07;0.0;0.0;679041.0;0.0;0.0;0.005426012
seq-iter;50000;50;0.150968888;0.0;0.012180771;3.77e-07;0.0;0.0;1768434.0;0.0;0.0;0.012180771
seq-iter;50000;100;0.151490755;0.0;0.024247785;6.93e-07;0.0;0.0;3626806.0;0.0;0.0;0.024247785
seq-iter;50000;200;0.15147562;0.0;0.047941667;1.114e-06;0.0;0.0;7345690.0;0.0;0.0;0.047941667
seq-iter;50000;500;0.151247291;0.0;0.117301956;2.533e-06;0.0;0.0;18282456.0;0.0;0.0;0.117301956
seq-iter;50000;1000;0.155433904;0.0;0.230922598;5.143e-06;0.0;0.0;36327664.0;0.0;0.0;0.230922598
seq-iter;50000;2000;0.156561055;0.0;0.471614043;9.936e-06;0.0;0.0;74037312.0;0.0;0.0;0.471614043
seq-iter;50000;5000;0.168975267;0.0;1.206087111;2.4362e-05;0.0;0.0;187139091.0;0.0;0.0;1.206087111
seq-rec;50000;1;0.151224084;0.0;0.003076718;2.07e-07;0.0;0.0;50000.0;0.0;50001.0;0.003076718
seq-rec;50000;2;0.150430594;0.0;0.00475744;1.58e-07;0.0;0.0;100001.0;0.0;50002.0;0.00475744
seq-rec;50000;5;0.151352397;0.0;0.006604832;1.5e-07;0.0;0.0;180984.0;0.0;50003.0;0.006604832
seq-rec;50000;10;0.149375803;0.0;0.010610036;1.9e-07;0.0;0.0;376033.0;0.0;50006.0;0.010610036
seq-rec;50000;20;0.152454167;0.0;0.018095544;2.46e-07;0.0;0.0;679041.0;0.0;50009.0;0.018095544
seq-rec;50000;50;0.150047956;0.0;0.041793142;3.83e-07;0.0;0.0;1768434.0;0.0;50027.0;0.041793142
seq-rec;50000;100;0.15010965;0.0;0.08487091;6.47e-07;0.0;0.0;3626806.0;0.0;50048.0;0.08487091
seq-rec;50000;200;0.151962672;0.0;0.168640259;1.224e-06;0.0;0.0;7345690.0;0.0;50091.0;0.168640259
seq-rec;50000;500;0.151995041;0.0;0.413772955;2.652e-06;0.0;0.0;18282456.0;0.0;50222.0;0.413772955
seq-rec;50000;1000;0.15407033;0.0;0.819678696;5.117e-06;0.0;0.0;36327664.0;0.0;50449.0;0.819678696
seq-rec;50000;2000;0.158922846;0.0;1.660971781;9.969e-06;0.0;0.0;74037312.0;0.0;50901.0;1.660971781
seq-rec;50000;5000;0.167356975;0.0;4.176976608;2.4638e-05;0.0;0.0;187139091.0;0.0;52246.0;4.176976608
