metodo;n;m;t_carga;t_ordenacao;t_verificacao;t_gravacao;comp_ordenacao;comp_ordenacao_destino;comp_busca;prof_ordenacao;prof_busca;t_busca
bin-iter-iter;50000;1;0.151061163;0.013036203;0.013040424;7.8e-08;736478.0;736478.0;16.0;0.0;0.0;3.790999999999517e-06
bin-iter-iter;50000;2;0.150576944;0.013043775;0.013047745;1.12e-07;736479.0;736478.0;33.0;0.0;0.0;3.971000000000183e-06
bin-iter-iter;50000;5;0.152114286;0.013035712;0.013041611;1.38e-07;736487.0;736478.0;80.0;0.0;0.0;6.16400000000121e-06
bin-iter-iter;50000;10;0.149972676;0.01303541;0.013044134;1.73e-07;736504.0;736478.0;163.0;0.0;0.0;8.967999999999823e-06
bin-iter-iter;50000;20;0.150232497;0.012936382;0.012951685;2.24e-07;736549.0;736478.0;323.0;0.0;0.0;1.4966999999999411e-05
bin-iter-iter;50000;50;0.150161436;0.012784629;0.012817749;3.57e-07;736704.0;736478.0;811.0;0.0;0.0;2.9721999999999388e-05
bin-iter-iter;50000;100;0.150269626;0.01286008;0.01291022;6.16e-07;737027.0;736478.0;1626.0;0.0;0.0;5.4078999999998545e-05
bin-iter-iter;50000;200;0.150751795;0.012914533;0.013009149;1.136e-06;737795.0;736478.0;3243.0;0.0;0.0;9.23009999999995e-05
bin-iter-iter;50000;500;0.155008178;0.013450212;0.013671593;2.407e-06;740315.0;736478.0;8097.0;0.0;0.0;0.00022138099999999966
bin-iter-iter;50000;1000;0.154217304;0.013148603;0.013575384;4.977e-06;745198.0;736478.0;16166.0;0.0;0.0;0.00042678099999999934
bin-iter-iter;50000;2000;0.15718346;0.013385312;0.014269142;9.927e-06;755951.0;736478.0;32340.0;0.0;0.0;0.0008741340000000004
bin-iter-iter;50000;5000;0.167612784;0.013947493;0.016066334;2.3834e-05;793388.0;736478.0;80929.0;0.0;0.0;0.002129492
bin-iter-rec;50000;1;0.150176736;0.012557888;0.012562074;7.5e-08;736478.0;736478.0;16.0;0.0;17.0;3.836000000000117e-06
bin-iter-rec;50000;2;0.151232431;0.013056607;0.013061122;1.05e-07;736479.0;736478.0;33.0;0.0;17.0;4.271000000000136e-06
bin-iter-rec;50000;5;0.15444586;0.013463139;0.013469251;1.45e-07;736487.0;736478.0;80.0;0.0;17.0;6.445000000000756e-06
bin-iter-rec;50000;10;0.152684646;0.012931102;0.012940597;1.6e-07;736504.0;736478.0;163.0;0.0;17.0;9.399000000000213e-06
bin-iter-rec;50000;20;0.151294254;0.013120337;0.013137527;2.12e-07;736549.0;736478.0;323.0;0.0;17.0;1.719000000000026e-05
bin-iter-rec;50000;50;0.150321956;0.012752986;0.012815596;3.98e-07;736704.0;736478.0;811.0;0.0;17.0;3.304099999999928e-05
bin-iter-rec;50000;100;0.149724929;0.012548957;0.012604838;6.21e-07;737027.0;736478.0;1626.0;0.0;17.0;5.680500000000005e-05
bin-iter-rec;50000;200;0.151480041;0.013346688;0.0134736;1.078e-06;737795.0;736478.0;3243.0;0.0;17.0;0.00011051999999999937
bin-iter-rec;50000;500;0.162018868;0.014503725;0.014752478;2.496e-06;740315.0;736478.0;8097.0;0.0;17.0;0.0002655190000000005
bin-iter-rec;50000;1000;0.153696056;0.013135536;0.013663782;4.904e-06;745198.0;736478.0;16166.0;0.0;17.0;0.0005018999999999996
bin-iter-rec;50000;2000;0.156428659;0.013001731;0.013936206;9.416e-06;755951.0;736478.0;32340.0;0.0;17.0;0.0009432710000000007
bin-iter-rec;50000;5000;0.166640026;0.013811316;0.016350086;2.3984e-05;793388.0;736478.0;80929.0;0.0;17.0;0.002428050000000001
bin-rec-iter;50000;1;0.149887883;0.012482328;0.012486386;7.6e-08;724824.0;724824.0;16.0;17.0;0.0;3.836999999999591e-06
bin-rec-iter;50000;2;0.156639574;0.013933533;0.013937695;1.02e-07;724825.0;724824.0;33.0;17.0;0.0;4.375000000000906e-06
bin-rec-iter;50000;5;0.151667418;0.013362011;0.013367939;1.33e-07;724831.0;724824.0;80.0;17.0;0.0;5.988000000000174e-06
bin-rec-iter;50000;10;0.151301595;0.012328728;0.012336568;1.57e-07;724847.0;724824.0;163.0;17.0;0.0;8.251000000000785e-06
bin-rec-iter;50000;20;0.151483838;0.013090471;0.013105968;2.34e-07;724889.0;724824.0;323.0;17.0;0.0;1.579799999999916e-05
bin-rec-iter;50000;50;0.150292418;0.012201758;0.012231327;3.83e-07;725047.0;724824.0;811.0;17.0;0.0;2.9569000000000123e-05
bin-rec-iter;50000;100;0.150275399;0.012393344;0.012449201;6.42e-07;725362.0;724824.0;1626.0;17.0;0.0;5.3852000000000066e-05
bin-rec-iter;50000;200;0.152464743;0.013077003;0.013178611;1.12e-06;726099.0;724824.0;3243.0;17.0;0.0;9.505299999999946e-05
bin-rec-iter;50000;500;0.154961981;0.013685252;0.013908433;2.531e-06;728685.0;724824.0;8097.0;17.0;0.0;0.0002813399999999997
bin-rec-iter;50000;1000;0.15297578;0.012825588;0.01324639;4.812e-06;733546.0;724824.0;16166.0;17.0;0.0;0.00042567600000000157
bin-rec-iter;50000;2000;0.156780549;0.01295167;0.013777741;9.699e-06;744289.0;724824.0;32340.0;17.0;0.0;0.0008453910000000009
bin-rec-iter;50000;5000;0.165652581;0.013168392;0.015400362;2.4593e-05;780262.0;724824.0;80929.0;17.0;0.0;0.0021729980000000006
bin-rec-rec;50000;1;0.14905101;0.012394396;0.012398676;8.4e-08;724824.0;724824.0;16.0;17.0;17.0;4.147999999998958e-06
bin-rec-rec;50000;2;0.152537762;0.013016054;0.013021317;1.17e-07;724825.0;724824.0;33.0;17.0;17.0;4.475999999999786e-06
