metodo;n;m;t_carga;t_ordenacao;t_verificacao;t_gravacao;comp_ordenacao;comp_ordenacao_destino;comp_busca;prof_ordenacao;prof_busca;t_busca
bin-iter-iter;1000;1000;0.02222;0.000218;0.000322;3e-06;17516.0;8779.0;10404.0;0.0;0.0;0.00010300000000000001
bin-iter-iter;2000;1000;0.033256;0.000425;0.000545;3e-06;28328.0;19568.0;11519.0;0.0;0.0;0.00012900000000000005
bin-iter-iter;5000;1000;0.06602;0.001064;0.001224;3e-06;65912.0;57164.0;12830.0;0.0;0.0;0.0001609999999999999
bin-iter-iter;10000;1000;0.123184;0.002236;0.002434;3e-06;133075.0;124300.0;13810.0;0.0;0.0;0.00020100000000000022
bin-iter-iter;20000;1000;0.234969;0.004818;0.00504;3e-06;277385.0;268626.0;14872.0;0.0;0.0;0.0002210000000000007
bin-iter-iter;50000;1000;0.574651;0.013864;0.014138;3e-06;745198.0;736478.0;16166.0;0.0;0.0;0.00027000000000000114
bin-iter-rec;1000;1000;0.022205;0.00022;0.000336;3e-06;17516.0;8779.0;10404.0;0.0;11.0;0.00011600000000000003
bin-iter-rec;2000;1000;0.033182;0.000428;0.000561;3e-06;28328.0;19568.0;11519.0;0.0;12.0;0.00013600000000000005
bin-iter-rec;5000;1000;0.06674;0.001066;0.001276;3e-06;65912.0;57164.0;12830.0;0.0;14.0;0.00020899999999999998
bin-iter-rec;10000;1000;0.121915;0.002221;0.00245;3e-06;133075.0;124300.0;13810.0;0.0;15.0;0.00022900000000000004
bin-iter-rec;20000;1000;0.236302;0.00484;0.005095;3e-06;277385.0;268626.0;14872.0;0.0;16.0;0.000255
bin-iter-rec;50000;1000;0.574577;0.014022;0.014316;3e-06;745198.0;736478.0;16166.0;0.0;17.0;0.0002909999999999996
bin-rec-iter;1000;1000;0.022178;0.000233;0.000336;3e-06;17499.0;8776.0;10404.0;11.0;0.0;0.00010300000000000001
bin-rec-iter;2000;1000;0.033669;0.000408;0.000527;3e-06;28285.0;19553.0;11519.0;12.0;0.0;0.00012100000000000001
bin-rec-iter;5000;1000;0.065973;0.00094;0.001104;3e-06;64409.0;55693.0;12830.0;14.0;0.0;0.00016100000000000012
bin-rec-iter;10000;1000;0.122162;0.001974;0.002176;3e-06;130146.0;121381.0;13810.0;15.0;0.0;0.00019799999999999983
bin-rec-iter;20000;1000;0.236413;0.004282;0.004504;3e-06;271492.0;262743.0;14872.0;16.0;0.0;0.00022199999999999998
bin-rec-iter;50000;1000;0.574661;0.012099;0.012369;3e-06;733546.0;724824.0;16166.0;17.0;0.0;0.0002720000000000014
bin-rec-rec;1000;1000;0.022265;0.000229;0.000346;3e-06;17499.0;8776.0;10404.0;11.0;11.0;0.000117
bin-rec-rec;2000;1000;0.033648;0.000423;0.000563;3e-06;28285.0;19553.0;11519.0;12.0;12.0;0.00014000000000000004
bin-rec-rec;5000;1000;0.067012;0.000955;0.001157;3e-06;64409.0;55693.0;12830.0;14.0;14.0;0.00020100000000000012
bin-rec-rec;10000;1000;0.122511;0.001977;0.002211;3e-06;130146.0;121381.0;13810.0;15.0;15.0;0.0002279999999999999
bin-rec-rec;20000;1000;0.235687;0.0043;0.004553;3e-06;271492.0;262743.0;14872.0;16.0;16.0;0.0002530000000000006
bin-rec-rec;50000;1000;0.57632;0.012106;0.012409;3e-06;733546.0;724824.0;16166.0;17.0;17.0;0.0003020000000000002
seq-iter;1000;1000;0.022415;0.0;0.001976;3e-06;0.0;0.0;851390.0;0.0;0.0;0.001976
seq-iter;2000;1000;0.033447;0.0;0.003722;3e-06;0.0;0.0;1597121.0;0.0;0.0;0.003722
seq-iter;5000;1000;0.06645;0.0;0.008921;3e-06;0.0;0.0;3808964.0;0.0;0.0;0.008921
seq-iter;10000;1000;0.120658;0.0;0.017697;3e-06;0.0;0.0;7465976.0;0.0;0.0;0.017697
seq-iter;20000;1000;0.235493;0.0;0.036202;5e-06;0.0;0.0;14742212.0;0.0;0.0;0.036202
seq-iter;50000;1000;0.576322;0.0;0.088024;3e-06;0.0;0.0;36327664.0;0.0;0.0;0.088024
seq-rec;1000;1000;0.022216;0.0;0.007045;3e-06;0.0;0.0;851390.0;0.0;1451.0;0.007045
seq-rec;2000;1000;0.033527;0.0;0.013332;3e-06;0.0;0.0;1597121.0;0.0;2457.0;0.013332
seq-rec;5000;1000;0.066185;0.0;0.031798;3e-06;0.0;0.0;3808964.0;0.0;5450.0;0.031798
seq-rec;10000;1000;0.12179;0.0;0.062306;3e-06;0.0;0.0;7465976.0;0.0;10446.0;0.062306
seq-rec;20000;1000;0.235911;0.0;0.12353;3e-06;0.0;0.0;14742212.0;0.0;20445.0;0.12353
seq-rec;50000;1000;0.575291;0.0;0.302892;3e-06;0.0;0.0;36327664.0;0.0;50449.0;0.302892
