metodo;n;m;t_carga;t_ordenacao;t_verificacao;t_gravacao;comp_ordenacao;comp_ordenacao_destino;comp_busca;prof_ordenacao;prof_busca
seq-iter;1000;1000;0.058112583;0.000000000;0.005039582;0.000004876;0;0;851390;0;0
seq-iter;1000;1000;0.008459554;0.000000000;0.006054423;0.000004890;0;0;851390;0;0
seq-iter;1000;1000;0.008144097;0.000000000;0.005026654;0.000004664;0;0;851390;0;0
seq-iter;1000;1000;0.008056747;0.000000000;0.005050905;0.000004855;0;0;851390;0;0
seq-iter;1000;1000;0.006119229;0.000000000;0.005022833;0.000004810;0;0;851390;0;0
seq-rec;1000;1000;0.006186317;0.000000000;0.016810161;0.000005011;0;0;851390;0;1451
seq-rec;1000;1000;0.007958546;0.000000000;0.016805094;0.000004632;0;0;851390;0;1451
seq-rec;1000;1000;0.006495848;0.000000000;0.016630277;0.000004859;0;0;851390;0;1451
seq-rec;1000;1000;0.007807737;0.000000000;0.016614404;0.000004940;0;0;851390;0;1451
seq-rec;1000;1000;0.008038898;0.000000000;0.016452946;0.000004756;0;0;851390;0;1451
bin-iter-iter;1000;1000;0.007908698;0.000289258;0.000561822;0.000004850;17516;8779;10404;0;0
bin-iter-iter;1000;1000;0.007801724;0.000293563;0.000475216;0.000004978;17516;8779;10404;0;0
bin-iter-iter;1000;1000;0.008076893;0.000282510;0.000463302;0.000004944;17516;8779;10404;0;0
bin-iter-iter;1000;1000;0.007779206;0.000305395;0.000486703;0.000004896;17516;8779;10404;0;0
bin-iter-iter;1000;1000;0.007831574;0.000281947;0.000481994;0.000004967;17516;8779;10404;0;0
bin-iter-rec;1000;1000;0.007835606;0.000279384;0.000485044;0.000004708;17516;8779;10404;0;11
bin-iter-rec;1000;1000;0.007919722;0.000282960;0.000490345;0.000004936;17516;8779;10404;0;11
bin-iter-rec;1000;1000;0.007900085;0.000286156;0.000495617;0.000004847;17516;8779;10404;0;11
bin-iter-rec;1000;1000;0.007843456;0.000288250;0.000492929;0.000004696;17516;8779;10404;0;11
bin-iter-rec;1000;1000;0.007884666;0.000313511;0.000516447;0.000004799;17516;8779;10404;0;11
bin-rec-iter;1000;1000;0.007774758;0.000336081;0.000622585;0.000004831;17499;8776;10404;11;0
bin-rec-iter;1000;1000;0.007877619;0.000309894;0.000495396;0.000004592;17499;8776;10404;11;0
bin-rec-iter;1000;1000;0.007875786;0.000312692;0.000497370;0.000004705;17499;8776;10404;11;0
bin-rec-iter;1000;1000;0.007742750;0.000330294;0.000513488;0.000004923;17499;8776;10404;11;0
bin-rec-iter;1000;1000;0.008102310;0.000333854;0.000513841;0.000004768;17499;8776;10404;11;0
bin-rec-rec;1000;1000;0.008041839;0.000333836;0.000538061;0.000004906;17499;8776;10404;11;11
bin-rec-rec;1000;1000;0.008404180;0.000322808;0.000553426;0.000005740;17499;8776;10404;11;11
bin-rec-rec;1000;1000;0.008116168;0.000311942;0.000516123;0.000005028;17499;8776;10404;11;11
bin-rec-rec;1000;1000;0.006042140;0.000309667;0.000516365;0.000004668;17499;8776;10404;11;11
bin-rec-rec;1000;1000;0.007758100;0.000330628;0.000534781;0.000004564;17499;8776;10404;11;11
seq-iter;2000;1000;0.011168545;0.000000000;0.009405662;0.000004833;0;0;1597121;0;0
seq-iter;2000;1000;0.010973571;0.000000000;0.009350440;0.000015640;0;0;1597121;0;0
seq-iter;2000;1000;0.010978887;0.000000000;0.009462665;0.000005092;0;0;1597121;0;0
seq-iter;2000;1000;0.010173857;0.000000000;0.009418617;0.000004890;0;0;1597121;0;0
seq-iter;2000;1000;0.010780865;0.000000000;0.009476583;0.000004810;0;0;1597121;0;0
seq-rec;2000;1000;0.010740471;0.000000000;0.031646700;0.000005127;0;0;1597121;0;2457
seq-rec;2000;1000;0.010959676;0.000000000;0.031622372;0.000004938;0;0;1597121;0;2457
seq-rec;2000;1000;0.011137467;0.000000000;0.031831926;0.000005248;0;0;1597121;0;2457
seq-rec;2000;1000;0.011119739;0.000000000;0.031530315;0.000004917;0;0;1597121;0;2457
seq-rec;2000;1000;0.011150667;0.000000000;0.032178118;0.000005040;0;0;1597121;0;2457
bin-iter-iter;2000;1000;0.009429910;0.000564999;0.000779884;0.000005202;28328;19568;11519;0;0
bin-iter-iter;2000;1000;0.011467670;0.000437556;0.000651263;0.000004828;28328;19568;11519;0;0
bin-iter-iter;2000;1000;0.010812295;0.000426785;0.000655926;0.000004956;28328;19568;11519;0;0
bin-iter-iter;2000;1000;0.010072348;0.000472206;0.000686382;0.000004808;28328;19568;11519;0;0
bin-iter-iter;2000;1000;0.011178127;0.000426069;0.000636042;0.000004972;28328;19568;11519;0;0
bin-iter-rec;2000;1000;0.009016525;0.000440079;0.000679902;0.000004870;28328;19568;11519;0;12
bin-iter-rec;2000;1000;0.011099691;0.000431264;0.000661486;0.000004984;28328;19568;11519;0;12
bin-iter-rec;2000;1000;0.011287643;0.000451174;0.000683750;0.000004952;28328;19568;11519;0;12
bin-iter-rec;2000;1000;0.010882016;0.000436898;0.000674814;0.000004802;28328;19568;11519;0;12
bin-iter-rec;2000;1000;0.009853321;0.000490094;0.000723968;0.000004937;28328;19568;11519;0;12
bin-rec-iter;2000;1000;0.010860680;0.000496785;0.000702958;0.000004761;28285;19553;11519;12;0
bin-rec-iter;2000;1000;0.011369472;0.000477078;0.000717777;0.000005221;28285;19553;11519;12;0
bin-rec-iter;2000;1000;0.010915504;0.000534677;0.000780930;0.000004959;28285;19553;11519;12;0
bin-rec-iter;2000;1000;0.011025917;0.000493584;0.000704644;0.000004800;28285;19553;11519;12;0
bin-rec-iter;2000;1000;0.010952418;0.000506180;0.000714403;0.000005031;28285;19553;11519;12;0
bin-rec-rec;2000;1000;0.010798949;0.000488623;0.000736306;0.000004752;28285;19553;11519;12;12
bin-rec-rec;2000;1000;0.011829141;0.000507041;0.000740011;0.000004763;28285;19553;11519;12;12
bin-rec-rec;2000;1000;0.010917241;0.000533489;0.000765692;0.000005123;28285;19553;11519;12;12
bin-rec-rec;2000;1000;0.011820543;0.000492050;0.000726787;0.000004634;28285;19553;11519;12;12
bin-rec-rec;2000;1000;0.009075910;0.000499154;0.000736278;0.000004780;28285;19553;11519;12;12
seq-iter;5000;1000;0.112815787;0.000000000;0.022873329;0.000005081;0;0;3808964;0;0
seq-iter;5000;1000;0.020706747;0.000000000;0.022701481;0.000006196;0;0;3808964;0;0
seq-iter;5000;1000;0.020009113;0.000000000;0.023362237;0.000005116;0;0;3808964;0;0
seq-iter;5000;1000;0.021418968;0.000000000;0.022012756;0.000004934;0;0;3808964;0;0
seq-iter;5000;1000;0.017941238;0.000000000;0.022285707;0.000005524;0;0;3808964;0;0
seq-rec;5000;1000;0.019698460;0.000000000;0.076109620;0.000006000;0;0;3808964;0;5450
seq-rec;5000;1000;0.020754643;0.000000000;0.075563509;0.000004938;0;0;3808964;0;5450
seq-rec;5000;1000;0.020224926;0.000000000;0.076198161;0.000005085;0;0;3808964;0;5450
seq-rec;5000;1000;0.019897656;0.000000000;0.075846800;0.000004911;0;0;3808964;0;5450
seq-rec;5000;1000;0.020107216;0.000000000;0.075630016;0.000004796;0;0;3808964;0;5450
bin-iter-iter;5000;1000;0.019857188;0.000929578;0.001166176;0.000004612;65912;57164;12830;0;0
bin-iter-iter;5000;1000;0.019784376;0.000864118;0.001112869;0.000004738;65912;57164;12830;0;0
bin-iter-iter;5000;1000;0.018587822;0.000886083;0.001140464;0.000004789;65912;57164;12830;0;0
bin-iter-iter;5000;1000;0.019771610;0.000869466;0.001130666;0.000004672;65912;57164;12830;0;0
bin-iter-iter;5000;1000;0.020050572;0.000869394;0.001097090;0.000004532;65912;57164;12830;0;0
bin-iter-rec;5000;1000;0.019898084;0.000897982;0.001153945;0.000004729;65912;57164;12830;0;14
bin-iter-rec;5000;1000;0.018478697;0.000881970;0.001158846;0.000004878;65912;57164;12830;0;14
bin-iter-rec;5000;1000;0.019307362;0.000861198;0.001119332;0.000004850;65912;57164;12830;0;14
bin-iter-rec;5000;1000;0.019219399;0.000876724;0.001148381;0.000004726;65912;57164;12830;0;14
bin-iter-rec;5000;1000;0.019285206;0.000869627;0.001124137;0.000004624;65912;57164;12830;0;14
bin-rec-iter;5000;1000;0.019876002;0.001014667;0.001263453;0.000004727;64409;55693;12830;14;0
bin-rec-iter;5000;1000;0.018359194;0.001029860;0.001256012;0.000004820;64409;55693;12830;14;0
bin-rec-iter;5000;1000;0.019259915;0.001027206;0.001259271;0.000004759;64409;55693;12830;14;0
bin-rec-iter;5000;1000;0.019633810;0.001089690;0.001320204;0.000004869;64409;55693;12830;14;0
bin-rec-iter;5000;1000;0.019295746;0.001039565;0.001300909;0.000005146;64409;55693;12830;14;0
bin-rec-rec;5000;1000;0.019358381;0.001021683;0.001300923;0.000004672;64409;55693;12830;14;14
bin-rec-rec;5000;1000;0.018414271;0.001039041;0.001311354;0.000004716;64409;55693;12830;14;14
bin-rec-rec;5000;1000;0.019695093;0.001022581;0.001279880;0.000004960;64409;55693;12830;14;14
bin-rec-rec;5000;1000;0.019311164;0.001039169;0.001311888;0.000004833;64409;55693;12830;14;14
bin-rec-rec;5000;1000;0.019269658;0.001031664;0.001305439;0.000004601;64409;55693;12830;14;14
seq-iter;10000;1000;0.173724484;0.000000000;0.057390340;0.000006510;0;0;7465976;0;0
seq-iter;10000;1000;0.046895053;0.000000000;0.058314129;0.000005444;0;0;7465976;0;0
seq-iter;10000;1000;0.041906579;0.000000000;0.042167676;0.000004814;0;0;7465976;0;0
seq-iter;10000;1000;0.034705161;0.000000000;0.042564426;0.000004881;0;0;7465976;0;0
seq-iter;10000;1000;0.034820026;0.000000000;0.042453561;0.000004549;0;0;7465976;0;0
seq-rec;10000;1000;0.035098921;0.000000000;0.152814737;0.000004963;0;0;7465976;0;10446
seq-rec;10000;1000;0.033310673;0.000000000;0.152290138;0.000005010;0;0;7465976;0;10446
seq-rec;10000;1000;0.035150161;0.000000000;0.152129337;0.000004851;0;0;7465976;0;10446
seq-rec;10000;1000;0.033316579;0.000000000;0.154124015;0.000004857;0;0;7465976;0;10446
seq-rec;10000;1000;0.034992466;0.000000000;0.152549994;0.000005109;0;0;7465976;0;10446
bin-iter-iter;10000;1000;0.036237253;0.001950758;0.002238821;0.000004759;133075;124300;13810;0;0
bin-iter-iter;10000;1000;0.035320059;0.001803544;0.002068870;0.000005031;133075;124300;13810;0;0
bin-iter-iter;10000;1000;0.034523086;0.001820670;0.002087525;0.000005045;133075;124300;13810;0;0
bin-iter-iter;10000;1000;0.034665404;0.001835333;0.002115562;0.000004950;133075;124300;13810;0;0
bin-iter-iter;10000;1000;0.034413079;0.001795665;0.002072235;0.000004715;133075;124300;13810;0;0
bin-iter-rec;10000;1000;0.034435094;0.001735006;0.002029567;0.000004761;133075;124300;13810;0;15
bin-iter-rec;10000;1000;0.033913191;0.001804195;0.002124794;0.000004862;133075;124300;13810;0;15
bin-iter-rec;10000;1000;0.033828109;0.001749990;0.002044323;0.000004860;133075;124300;13810;0;15
bin-iter-rec;10000;1000;0.033910726;0.001825059;0.002145956;0.000004657;133075;124300;13810;0;15
bin-iter-rec;10000;1000;0.034052248;0.001768742;0.002085807;0.000004660;133075;124300;13810;0;15
bin-rec-iter;10000;1000;0.034243955;0.002076563;0.002351290;0.000004702;130146;121381;13810;15;0
bin-rec-iter;10000;1000;0.033076692;0.002093169;0.002358497;0.000004653;130146;121381;13810;15;0
bin-rec-iter;10000;1000;0.034033262;0.002070322;0.002368114;0.000005047;130146;121381;13810;15;0
bin-rec-iter;10000;1000;0.034104344;0.002115713;0.002381042;0.000004676;130146;121381;13810;15;0
bin-rec-iter;10000;1000;0.034147173;0.002082505;0.002352824;0.000004898;130146;121381;13810;15;0
bin-rec-rec;10000;1000;0.034129142;0.002075301;0.002390625;0.000005161;130146;121381;13810;15;15
bin-rec-rec;10000;1000;0.034177443;0.002111652;0.002419075;0.000005507;130146;121381;13810;15;15
bin-rec-rec;10000;1000;0.034234320;0.002042459;0.002349305;0.000004791;130146;121381;13810;15;15
bin-rec-rec;10000;1000;0.033914537;0.002094684;0.002406845;0.000004578;130146;121381;13810;15;15
bin-rec-rec;10000;1000;0.034252107;0.002109051;0.002414299;0.000004713;130146;121381;13810;15;15
seq-iter;20000;1000;0.471755712;0.000000000;0.088824818;0.000009064;0;0;14742212;0;0
seq-iter;20000;1000;0.065126377;0.000000000;0.090454340;0.000004926;0;0;14742212;0;0
seq-iter;20000;1000;0.065097834;0.000000000;0.092738899;0.000004943;0;0;14742212;0;0
seq-iter;20000;1000;0.066572090;0.000000000;0.091988766;0.000004898;0;0;14742212;0;0
seq-iter;20000;1000;0.080974514;0.000000000;0.110896368;0.000005132;0;0;14742212;0;0
seq-rec;20000;1000;0.065604390;0.000000000;0.330134390;0.000004890;0;0;14742212;0;20445
seq-rec;20000;1000;0.064268243;0.000000000;0.326795723;0.000005087;0;0;14742212;0;20445
seq-rec;20000;1000;0.066515787;0.000000000;0.328089274;0.000005132;0;0;14742212;0;20445
seq-rec;20000;1000;0.065980380;0.000000000;0.323696580;0.000004749;0;0;14742212;0;20445
seq-rec;20000;1000;0.065012402;0.000000000;0.322754476;0.000004716;0;0;14742212;0;20445
bin-iter-iter;20000;1000;0.064594200;0.004536042;0.004897564;0.000004695;277385;268626;14872;0;0
bin-iter-iter;20000;1000;0.064426248;0.004600791;0.004930700;0.000004646;277385;268626;14872;0;0
bin-iter-iter;20000;1000;0.064373322;0.004467735;0.004803688;0.000004717;277385;268626;14872;0;0
bin-iter-iter;20000;1000;0.064502763;0.004492357;0.004823894;0.000004778;277385;268626;14872;0;0
bin-iter-iter;20000;1000;0.064294962;0.004487893;0.004848537;0.000004487;277385;268626;14872;0;0
bin-iter-rec;20000;1000;0.064452860;0.004501278;0.004890351;0.000004781;277385;268626;14872;0;16
bin-iter-rec;20000;1000;0.064337434;0.004480838;0.004906944;0.000009958;277385;268626;14872;0;16
bin-iter-rec;20000;1000;0.065217578;0.004853903;0.005291781;0.000004885;277385;268626;14872;0;16
bin-iter-rec;20000;1000;0.062703439;0.004571956;0.004949602;0.000004655;277385;268626;14872;0;16
bin-iter-rec;20000;1000;0.064252062;0.004554114;0.004926968;0.000004840;277385;268626;14872;0;16
bin-rec-iter;20000;1000;0.064482576;0.004628868;0.004970526;0.000004811;271492;262743;14872;16;0
bin-rec-iter;20000;1000;0.064424041;0.004629871;0.004964993;0.000004818;271492;262743;14872;16;0
bin-rec-iter;20000;1000;0.064302401;0.004586197;0.004930568;0.000004611;271492;262743;14872;16;0
bin-rec-iter;20000;1000;0.063266639;0.004681955;0.005024755;0.000004656;271492;262743;14872;16;0
bin-rec-iter;20000;1000;0.065102663;0.004392112;0.004720958;0.000004766;271492;262743;14872;16;0
bin-rec-rec;20000;1000;0.062306209;0.004411223;0.004812997;0.000004628;271492;262743;14872;16;16
bin-rec-rec;20000;1000;0.063929836;0.004478297;0.004863992;0.000004846;271492;262743;14872;16;16
bin-rec-rec;20000;1000;0.065015546;0.004645310;0.005032255;0.000004980;271492;262743;14872;16;16
bin-rec-rec;20000;1000;0.064579657;0.004529138;0.004935155;0.000004775;271492;262743;14872;16;16
bin-rec-rec;20000;1000;0.063976488;0.004492721;0.004876318;0.000004630;271492;262743;14872;16;16
seq-iter;50000;1000;0.155369198;0.000000000;0.230066449;0.000005126;0;0;36327664;0;0
seq-iter;50000;1000;0.155852984;0.000000000;0.229699905;0.000005702;0;0;36327664;0;0
seq-iter;50000;1000;0.152167792;0.000000000;0.228943794;0.000004993;0;0;36327664;0;0
seq-iter;50000;1000;0.153949281;0.000000000;0.232389562;0.000005095;0;0;36327664;0;0
seq-iter;50000;1000;0.154230852;0.000000000;0.234131639;0.000004827;0;0;36327664;0;0
seq-rec;50000;1000;0.154462566;0.000000000;0.812227800;0.000004968;0;0;36327664;0;50449
seq-rec;50000;1000;0.152818595;0.000000000;0.818641229;0.000004962;0;0;36327664;0;50449
seq-rec;50000;1000;0.153394288;0.000000000;0.822890054;0.000005321;0;0;36327664;0;50449
seq-rec;50000;1000;0.153891479;0.000000000;0.828030430;0.000005064;0;0;36327664;0;50449
seq-rec;50000;1000;0.153623570;0.000000000;0.823238898;0.000005204;0;0;36327664;0;50449
bin-iter-iter;50000;1000;0.152883208;0.012798050;0.013251770;0.000004905;745198;736478;16166;0;0
bin-iter-iter;50000;1000;0.151945712;0.012684327;0.013110691;0.000004627;745198;736478;16166;0;0
bin-iter-iter;50000;1000;0.152982881;0.012996467;0.013435811;0.000004758;745198;736478;16166;0;0
bin-iter-iter;50000;1000;0.153056245;0.012983720;0.013455489;0.000004744;745198;736478;16166;0;0
bin-iter-iter;50000;1000;0.154110413;0.013281289;0.013703408;0.000032426;745198;736478;16166;0;0
bin-iter-rec;50000;1000;0.152706488;0.013496002;0.014004209;0.000005079;745198;736478;16166;0;17
bin-iter-rec;50000;1000;0.153679997;0.012859683;0.013325559;0.000004520;745198;736478;16166;0;17
bin-iter-rec;50000;1000;0.154023918;0.012877353;0.013366759;0.000004848;745198;736478;16166;0;17
bin-iter-rec;50000;1000;0.153509217;0.012910780;0.013381144;0.000004912;745198;736478;16166;0;17
bin-iter-rec;50000;1000;0.155230385;0.013057178;0.013570247;0.000004828;745198;736478;16166;0;17
bin-rec-iter;50000;1000;0.153605813;0.013308541;0.013746552;0.000004849;733546;724824;16166;17;0
bin-rec-iter;50000;1000;0.155944945;0.013250080;0.013731016;0.000005162;733546;724824;16166;17;0
bin-rec-iter;50000;1000;0.153187368;0.013257796;0.013688114;0.000004745;733546;724824;16166;17;0
bin-rec-iter;50000;1000;0.155266037;0.013152585;0.013587525;0.000004726;733546;724824;16166;17;0
bin-rec-iter;50000;1000;0.154466648;0.013124846;0.013557709;0.000004633;733546;724824;16166;17;0
bin-rec-rec;50000;1000;0.157711222;0.013223652;0.013744730;0.000005087;733546;724824;16166;17;17
bin-rec-rec;50000;1000;0.155103128;0.013186849;0.013697846;0.000004937;733546;724824;16166;17;17
bin-rec-rec;50000;1000;0.152913975;0.013000113;0.013509595;0.000004964;733546;724824;16166;17;17
bin-rec-rec;50000;1000;0.154392353;0.012886186;0.013397573;0.000004949;733546;724824;16166;17;17
bin-rec-rec;50000;1000;0.155219101;0.013597787;0.014124135;0.000004738;733546;724824;16166;17;17
